,10015.5,48.403,2.438,104.55,28.22,-999,-999,-999,20.546,-999,-999,-999,9445.76465,26.92433,28.26711,38.49039,-999,-999,-999,-999
,10016,48.404,2.438,100.612,28.22,-999,-999,-999,20.546,-999,-999,-999,9446.23535,27.04211,28.38696,38.65562,-999,-999,-999,-999
,10016.5,48.406,2.438,100.612,28.22,-999,-999,-999,20.546,-999,-999,-999,9446.70703,27.15992,28.50677,38.82082,-999,-999,-999,-999
,10017,46.832,2.438,102.187,28.22,-999,-999,-999,20.546,-999,-999,-999,9447.17773,27.27776,28.62654,38.98601,-999,-999,-999,-999
,10017.5,45.259,2.438,102.975,28.22,-999,-999,-999,20.546,-999,-999,-999,9447.64844,27.39562,28.74628,39.15118,-999,-999,-999,-999
,10018,45.26,2.438,100.612,28.22,-999,-999,-999,20.546,-999,-999,-999,9448.11914,27.5135,28.86597,39.31633,-999,-999,-999,-999
,10018.5,46.069,2.438,99.037,28.22,-999,-999,-999,20.546,-999,-999,-999,9448.58984,27.6314,28.98563,39.48146,-999,-999,-999,-999
,10019,47.625,2.438,99.037,28.22,-999,-999,-999,20.546,-999,-999,-999,9449.06152,27.74934,29.10525,39.64658,-999,-999,-999,-999
,10019.5,47.627,2.438,97.463,28.22,-999,-999,-999,20.546,-999,-999,-999,9449.53223,27.86729,29.22483,39.81167,-999,-999,-999,-999
,10020,47.627,2.438,93.525,28.22,-999,-999,-999,20.546,-999,-999,-999,9450.00293,27.98527,29.34437,39.97675,-999,-999,-999,-999
,10020.5,47.628,2.438,90.375,28.22,-999,-999,-999,20.546,-999,-999,-999,9450.47363,28.10328,29.46388,40.14182,-999,-999,-999,-999
,10021,47.63,2.438,89.588,28.22,-999,-999,-999,20.546,-999,-999,-999,9450.94531,28.2213,29.58334,40.30686,-999,-999,-999,-999
,10021.5,47.631,2.438,91.95,28.22,-999,-999,-999,20.546,-999,-999,-999,9451.41602,28.33935,29.70277,40.47188,-999,-999,-999,-999
,10022,48.42,2.438,92.737,28.22,-999,-999,-999,20.546,-999,-999,-999,9451.88672,28.45743,29.82216,40.63688,-999,-999,-999,-999
,10022.5,47.633,2.438,97.463,28.22,-999,-999,-999,20.546,-999,-999,-999,9452.3584,28.57553,29.94151,40.80187,-999,-999,-999,-999
,10023,46.06,2.438,102.975,28.22,-999,-999,-999,20.546,-999,-999,-999,9452.8291,28.69365,30.06083,40.96684,-999,-999,-999,-999
,10023.5,46.062,2.438,101.4,28.22,-999,-999,-999,20.546,-999,-999,-999,9453.2998,28.8118,30.1801,41.13179,-999,-999,-999,-999
,10024,46.063,2.425,102.502,28.06,-999,-999,-999,20.546,-999,-999,-999,9453.77051,28.92997,30.29934,41.29673,-999,-999,-999,-999
,10024.5,45.276,2.422,102.187,27.52,-999,-999,-999,20.546,-999,-999,-999,9454.24219,29.04817,30.41854,41.46164,-999,-999,-999,-999
,10025,46.066,2.418,109.275,27.04,-999,-999,-999,20.546,-999,-999,-999,9454.71289,29.16639,30.53769,41.62653,-999,-999,-999,-999
,10025.5,46.321,2.436,110.497,26.64,-999,-999,-999,20.546,-999,-999,-999,9455.18359,29.28463,30.65682,41.79141,-999,-999,-999,-999
,10026,46.856,2.454,114.394,26.4,-999,-999,-999,20.546,-999,-999,-999,9455.65527,29.4029,30.7759,41.95628,-999,-999,-999,-999
,10026.5,47.289,2.445,117.937,26.08,-999,-999,-999,20.546,-999,-999,-999,9456.12598,29.52119,30.89495,42.12111,-999,-999,-999,-999
,10027,47.646,2.449,114.787,26.46,-999,-999,-999,20.495,-999,-999,-999,9456.59668,29.63951,31.01395,42.28593,-999,-999,-999,-999
,10027.5,47.647,2.456,112.425,26.72,-999,-999,-999,20.546,-999,-999,-999,9457.06738,29.75785,31.13292,42.45074,-999,-999,-999,-999
,10028,47.648,2.445,108.487,26.64,-999,-999,-999,20.546,-999,-999,-999,9457.53906,29.87621,31.25185,42.61552,-999,-999,-999,-999
,10028.5,49.673,2.429,106.125,27.24,-999,-999,-999,20.546,-999,-999,-999,9458.00977,29.9946,31.37074,42.78029,-999,-999,-999,-999
,10029,50.801,2.417,106.125,27.72,-999,-999,-999,20.546,-999,-999,-999,9458.48047,30.11301,31.4896,42.94504,-999,-999,-999,-999
,10029.5,53.952,2.435,106.125,27.88,-999,-999,-999,20.546,-999,-999,-999,9458.95215,30.23145,31.60841,43.10977,-999,-999,-999,-999
,10030,54.505,2.463,102.975,27.1,-999,-999,-999,20.495,-999,-999,-999,9459.42285,30.34991,31.72719,43.27448,-999,-999,-999,-999
,10030.5,54.742,2.489,104.55,26.92,-999,-999,-999,19.732,-999,-999,-999,9459.89355,30.46839,31.84593,43.43918,-999,-999,-999,-999
,10031,50.807,2.464,102.187,28.46,-999,-999,-999,19.631,-999,-999,-999,9460.36523,30.5869,31.96463,43.60385,-999,-999,-999,-999
,10031.5,50.02,2.469,100.612,28.56,-999,-999,-999,19.58,-999,-999,-999,9460.83594,30.70543,32.08329,43.76851,-999,-999,-999,-999
,10032,49.54,2.477,101.4,28.54,-999,-999,-999,19.529,-999,-999,-999,9461.30664,30.82398,32.20191,43.93315,-999,-999,-999,-999
,10032.5,49.235,2.481,103.779,29.74,-999,-999,-999,19.529,-999,-999,-999,9461.77832,30.94256,32.3205,44.09777,-999,-999,-999,-999
,10033,47.662,2.487,106.912,31.36,-999,-999,-999,19.529,-999,-999,-999,9462.24902,31.06116,32.43904,44.26237,-999,-999,-999,-999
,10033.5,47.832,2.481,109.275,29.96,-999,-999,-999,19.529,-999,-999,-999,9462.71973,31.17979,32.55755,44.42695,-999,-999,-999,-999
,10034,48.168,2.461,110.062,25.98,-999,-999,-999,19.529,-999,-999,-999,9463.19141,31.29844,32.67602,44.59152,-999,-999,-999,-999
,10034.5,48.453,2.454,104.55,23.36,-999,-999,-999,19.529,-999,-999,-999,9463.66211,31.41712,32.79445,44.75606,-999,-999,-999,-999
